Notes for posting,Shared,Timestamp,Contact,Organization,Email,Phone Number,Short Description of Advanced Training Opportunity (3-5 sentences),Location of Advanced Training Opportunity,Date(s) and Time(s) of Advanced Training,Any additional information:,Email Address,,,
,X,3/25/2019 12:21:05,Aaron Wilson,Welty Environmental Center,aaron@weltycenter.org,6083626212,"Wild Flower Walk (5/12/2019): For nature-lovers, there is no better way to celebrate the final arrival of spring than a hike in the forest to observe the blooms of spring wildflowers. On this walk, we’ll look for the blooms of Dutchman’s breeches, hepaticas, violets, spring beauty, wild ginger, and anemones. Dependent on the yearly variation in bloom time, there may also be columbine, blue wood phlox, trilliums, and Jack in the Pulpit. Big Hill Park is the perfect place for this type of hike because it contains one of the best wildflower displays in Rock county.","Welty Environmental Center, 1201 Big Hill Court, Beloit, WI 53511","May 12, 2019 @ 1:00 pm – 3:00 pm",$10 members / $12 non-members (space limited to 20) Register Here: https://weltycenter.org/event/wild-flower-walk-5-12-2019,,,,
,X,3/25/2019 12:24:00,Aaron Wilson,Welty Environmental Center,aaron@weltycenter.org,6083626212,"Wild Edible and Poisonous Plants 6.8.2019: In this outdoor program, naturalist Dave Bendlin will lead participants in a hike around Big Hill Park to observe and identify a variety of common wild edible plants found in late spring and early summer. He will also point out some common poisonous plants that should be avoided and offer some guidelines for collecting and preparing wild edible plants. Participants will have the opportunity to sample some wild edibles if they would like to try them.","Welty Environmental Center, 1201 Big Hill Court, Beloit, WI 53511","June 8, 2019 @ 1:00 pm – 3:00 pm",$10 members / $12 non-members (space limited to 20) Register Here: https://weltycenter.org/event/wild-edible-and-poisonous-plants-6-8-2019,,,,
,X,3/25/2019 12:26:02,Aaron Wilson,Welty Environmental Center,aaron@weltycenter.org,6083626212,Wild Edible and Poisonous Plants 9.14.2019: ,"Welty Environmental Center, 1201 Big Hill Court, Beloit, WI 53511","September 14, 2019 @ 1:00 pm – 3:00 pm","$10 members / $12 non-members (space limited to 20): In this outdoor program, naturalist Dave Bendlin will lead participants in a hike around Big Hill Park to observe and identify a variety of common wild edible plants found in late summer and early fall. He will also point out some common poisonous plants that should be avoided and offer some guidelines for collecting and preparing wild edible plants. Participants will have the opportunity to sample some wild edibles if they would like to try them.",,,,
,X,6/25/2019 22:43:51,Anne Boucher,Friends of Pheasant Branch Conservancy,education@pheasantbranch.org,608-422-0877,"Your Friendly Neighborhood Dragonfly, by speaker Dr. Robert Bohanan. This is the August Conservancy Day Program of the Friends of Pheasant Branch Conservancy.","Kromrey Middle School, 7009 Donna Drive  Middleton, WI 53562 United States","August 15, 2019 from 6:30 - 7:30 p.m.","In this talk, we’ll discuss nearly 15 years of research done in collaboration with K-12 teachers and students, undergraduates and citizen science exploring what the ecology and behavior of dragonflies can tell us about the ecology of our neighborhoods. We will highlight ways you can set up your own studies, including some resources and strategies for identifying adult dragonflies and contributing to what we are collectively learning. By Dr. Robert Bohanan, an ecologist with 30 years of experience in teaching, research, and outreach, most of which has included citizen science research and education.",,,,
,X,7/3/2019 16:42:18,Marian Farrior,UW-Madison Arboretum,marian.farrior@wisc.edu,(608) 265-5214,"Restoration Team Leader Training.  Team leaders play a critical role in restoring Arboretum prairies and savannas by supervising other volunteers at Saturday morning ecological restoration work parties. They also gain invaluable personal and professional experience as they learn about native ecosystems and plants, manage and maintain native landscapes, and develop leadership and communication skills. Team leaders get to know the Arboretum and how it works in every season. Restor","UW-Madison Arboretum, Madison",October 2019,"Cost is $100. Please contact marian.farrior@wisc.edu for restoration team leader position description, training description and schedule, and application form. ",,,,
,,7/29/2019 14:55:21,Anne Pearce,Wisconsin First Detector Network,anne.pearce@wisc.edu,608-262-9570,Learn how you can help protect natural areas from invasive plants! Join us to learn how to identify invasive plants and how to map them using tools like the Great Lakes Early Detection Network app. We will practice identification and mapping on site and share opportunities to help monitor invasive plants in local natural areas.,"The Acreage at Osceola, 945 Pioneer Drive, Osceola, 54020","Thursday, August 22nd, 5:30 - 8 pm","Information and registration: https://www.eventbrite.com/e/invasive-species-citizen-science-workshop-tickets-65262547035
",,,,
,X,7/30/2019 11:00:44,Anne Pearce,Invasive Plants Association of Wisconsin,anne.pearce@wisc.edu,608-262-9570,"Volunteers and landowners are invited to attend a day-long invasive plant field day in Mt. Morris Township (Waushara County). Attendees will learn how to identify, monitor, and manage common and priority invasive plants in central Wisconsin. Hands-on identification and mapping practice will prepare attendees for stewardship and citizen science opportunities in the region.","Hansen Property, Mt. Morris Township, Waushara County","September 28th, 10 am - 4 pm",Registration information at IPAW's website: https://ipaw.org/event/central-wisconsin-landowner-invasive-plant-field-day/,,,,
,X,8/29/2019 12:07:43,Anne Boucher,Friends of Pheasant Branch Conservancy,education@pheasantbranch.org,608-422-0877,"Restoring the Wetlands of Pheasant Branch Conservancy - a Story of Progress and Partnership. Enjoy the sunset in the Conservancy as Tom Bernthal talks about past and current restoration projects. Come and celebrate the amazing work that has been done and, if you wish, learn how you can help with this tremendous effort. The meeting location has an excellent view of the marsh. We will visit the big springs as well and return to the homesite by 7:00 pm. 
Directions:  Arrive early for time to walk to the homestead site by 6:00 pm.  
Parking options:
1.  Park at Orchid Heights park and walk west to the homestead location. 15 mins. 
2.  Park at the northernmost parking lot at 4864 Pheasant Branch Road and walk west to the homestead site. Allow 10 minutes for the walk.","Conservancy's homestead site, just east up the gravel road from parking lot at 4864 Pheasant Branch Road.","September 19, 6:00 - 7:00 p.m.","Please RSVP to conservancyday@pheasantbranch.org. Tom Bernthal recently retired as a wetland ecologist with Wisconsin Department of Natural Resources. He developed wetland assessment and monitoring methods to measure the health of wetlands, identified wetland restoration opportunities, and evaluated restoration projects. He has been involved with the Friends of Pheasant Branch Conservancy since their inception, particularly with restoration and invasive species control projects.",,,,
,X,9/5/2019 14:07:11,Emily Stone,Cable Natural History Museum,emily@cablemuseum.org,7157983890,"Geology of the Northwoods 

Join geologist Fred Haueter on a driving tour that highlights Northwest Wisconsin geology! Begin on Hwy 27 south of Barnes and end at Amnicon Falls State Park. Participants will explore evidence of glacial geology (striations, hummocky terrain, outwash plain, kettle lakes, sand dune, Glacial Lake Duluth spillway) and bedrock geology (basalt lava flows, volcanic conglomerates, Weyerhauser copper mine, Douglas Fault and Bayfield sandstone). Meet at the Cable Natural History Museum at 9:00 a.m. for a short overview presentation, then carpool to the sites and return by 4:00 p.m. Dress for the weather. Bring a sack lunch, snacks, and water. Registration required by September 16 by going to cablemuseum.org or calling 715-798-3890. $25 member/$30 non-member. 
","Cable Natural History Museum, Cable, WI","September 19, 9:00 a.m. - 4:00 p.m.",Registration required by September 16 by going to cablemuseum.org or calling 715-798-3890. $25 member/$30 non-member. ,,,,
,X,9/5/2019 14:09:21,Emily Stone,Cable Natural History Museum,emily@cablemuseum.org,7157983890,"Wapati by the Water 
Join Brenda Maier—Wisconsin Master Naturalist and co-owner of True North Guiding and Outfitters and the Cable Natural History Museum—for a float trip down the west fork of the Chippewa River, right through the heart of elk country. She’ll talk about the history of elk in this area, including the reintroductions, explain how Snapshot Wisconsin trail cameras have played an integral role in monitoring the reintroduced elk herds, and share stories of her own personal encounters with Chequamegon Elk. Brenda will even use her elk call in the hopes of hearing a bull bugle in response. Meet at Boulder Lodge at 3:00 p.m. and return by 7:00 p.m. Dress for the weather. Bring your own canoe or kayak (a few will be available to borrow), snacks, water. You don’t have to be a Master Naturalist to participate! And adult learners are welcome. Space is limited. Register  by September 20 by going to cablemuseum.org or call 715-798-3890. $35 member/$40 non-member. 
","Boulder Lodge, Hayward, WI","September 26, 3:00 p.m. -- 7:00 p.m",Register  by September 20 by going to cablemuseum.org or call 715-798-3890. $35 member/$40 non-member. ,,,,
,X,9/5/2019 14:15:02,Emily Stone,Cable Natural History Museum,emily@cablemuseum.org,7157983890,"Discovering Moss
Graduates of the Wisconsin Master Naturalist program and other interested adults are invited to spend a cozy autumn weekend at Forest Lodge learning about the identification and ecology of moss with Professor Joe Rohrer and Master Naturalist Instructor Emily Stone. The training begins at 1:00 p.m. on Thursday and will engage students in a variety of indoor and outdoor activities. All meals are included. Registration cost is $200 with lodging at the historic Gatehouse, and $135 for commuters. Find out more and register online at www.cablemuseum.org by October 9. This workshop provides 11 hours of Master Naturalist Advanced Training!
","Forest Lodge, Cable, WI","October 24, 1:00 p.m. -- October 26, 1:00 p.m.",View the full schedule here: https://cablemuseum.b-cdn.net/wp-content/uploads/2019/09/Moss-Workshop-2019-schedule.pdf ,,,,
,,9/6/2019 9:39:28,Jackie Scharfenberg,Wisconsin Department of Natural Resources,jackie.scharfenberg@wisconsin.gov,920-533-8322,Exploring Nature Programs: Everyone is invited to participate in 1 to 2 hours of hands-on nature fun. Adults are encouraged to work with their children. These programs are best for families/groups with children between the ages of 6 and 12 years. ,Ice Age Visitor Center,"September 7, September 21, October 26, November 9, December 14 Time: 10:00 am - 11:30 am",,,,,
,,9/6/2019 10:45:25,Jackie Scharfenberg,Wisconsin Department of Natural Resources,jackie.scharfenberg@wisconsin.gov,920-533-8322,"Women's Day in the Outdoors: Through hands-on activities, gain basic outdoor skills from knot tying and fire building to tent pinching, outdoor cooking and more. Learn from experienced women how to become comfortable spending time enjoying the great outdoors. ",Mauthe Lake Recreation Area Picnic Shelter,"September 14, 9:30 am-3:30 pm","To register, please call: 920-533-8322 by September 9. ",,,,
,X,9/6/2019 10:52:11,Jackie Scharfenberg,Wisconsin Department of Natural Resources,jackie.scharfenberg@wisconsin.gov,920-269-7399,"Traverse through the dark autumn woods to meet those things with wings. This is not a scary hike and best for those over 5 years of age. Groups leave every six minutes. The last hour-long hike leaves at 8:30 pm. While waiting for your hike, enjoy playing fun-filled games, making a craft to take home, or snacking by the glow of a campfire. ",Mauthe Lake Recreation Area,"October 18 and 19, 6:30 - 9:30 pm",,,,,
,,9/6/2019 10:55:17,Jackie Scharfenberg,Wisconsin Department of Natural Rescoures,jackie.scharfenberg@wisconsin.gov,920-269-7399,"Drop in on the forest naturalists. they will have artifacts, activities, and answers to your nature and outdoor questions. Come for a few minutes or more than an hour for some nature fun. Adults are encouraged to participate with their children.",Ice Age Visitor Center,"September 28, 29, October 5, 6, October 12, 13",,,,,
,X,9/6/2019 11:11:52,Jackie Scharfenberg,Wisconsin Department of Natural Resources,jackie.scharfenberg@wisconsin.gov,920-533-8322,"An Evening with Nature: Meet at the Ice Age Visitor Center or site listed for informative and entertaining presentations. Forest staff or guest presenters provide the programs, which are best for adults and youth over 10 years old. ",Ice Age Visitor Center ,"September 12 (7:00 - 8:30 pm), October 17 (7:00 - 8:30 pm), November 12 (7:00 - 8:30 pm), November 14 (1:00 - 3:00 pm) (6:00 -8:30 pm)",,,,,
,X,9/6/2019 11:29:04,Jackie Scharfenberg,Wisconsin Department of Natural Resources,jackie.scharfenberg@wisconsin.gov,920-533-8322,Winter Solstice Hike: Gather around the fire as we share traditions of the longest night of the year. We will then travel through the dark woods to find out what animals are awake and braving the cold of a winter night.  This hike is best for families/groups with children older than 6 years old.,Zilmer Trails Area (located off County Road SS betweem County Road G and Hwy 67 near New Prospect,"Cecember 20, 2019; 6:30 p.m. - 8 p.m.",,,,,
,X,9/30/2019 15:05:07,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,14143522880169,"Invasive Species Identification and Ecology
In this two-day workshop led by Naturalist Tess Carr and Director of Conservation Marc White, you’ll learn about the ecological impacts and unseen effects that invasive species have on our environment and how to identify some of the invasive plants at the Center. We’ll also share the best management practices in controlling each type of invasive so that you can eradicate populations on your property.
Member: $30 | Non-Member: $40 Fee covers both sessions. Register at https://www.schlitzaudubon.org/event/invasive-species-identification-and-ecology-2/
","Schlitz Audubon Nature Center, Milwaukee","October 6 and October 13, 9:30am-12:00pm","https://www.schlitzaudubon.org/event/invasive-species-identification-and-ecology-2/
",,,,
,X,9/30/2019 15:08:16,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,14143522880169,"Holy Hill Fall Colors Field Trip
Join Senior Ecologist Don Quintenz to explore one of the most beautiful areas in southern Wisconsin for fall colors. Perched atop a giant glacial mound, Holy Hill offers breathtaking views of the surrounding countryside. The dominant Sugar Maple trees are well known for their striking red, orange, and yellow coloration, and appear to come on fire the third week of October every year. The many other species of trees will complement their beauty with personalities of their own. We will immerse ourselves in these beautiful gardens of nature as we explore them looking for the other plants and animals that live there. You must be able to walk several miles on footpaths that ascend and descend steep hills. 
Member: $75 | Non-Member: $90. Register at https://www.schlitzaudubon.org/event/holy-hill-fall-colors-field-trip/
",Schlitz Audubon Nature Center,"October 17, 9:00 AM - 4:00 PM","https://www.schlitzaudubon.org/event/holy-hill-fall-colors-field-trip/
",,,,
,X,9/30/2019 15:11:35,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,14143522880169,"Wandering Naturalists
We’re bringing together some of the Wisconsin’s premier naturalists for a new monthly series. Each month, a different naturalist will share their knowledge on a seasonal hike at Schlitz Audubon. You’ll learn many in-depth details about plants, animals, nature and ecological processes.
Member: $15 | Non-Member: $20. Register at https://www.schlitzaudubon.org/event/wandering-naturalists-2/
","Schlitz Audubon Nature Center, Milwaukee","October 19, 2019 9:00 AM - 10:30 AM",https://www.schlitzaudubon.org/event/wandering-naturalists-2/,,,,
,X,9/30/2019 15:13:40,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,14143522880169,"Nature Discovery Hike
Experience the wonders of fall as we walk along the meadows, woods, and wetlands of the Center. Senior Ecologist Don Quintenz will lead you to the seasonal events that stir our sense of beauty and imagination, and help answer the questions that nature evokes in us. The entire program takes place on the trail. This month, we will visit the most colorful areas of the Center’s fall splendor.
Member: $15 | Non-Member: $20. Register at https://www.schlitzaudubon.org/event/nature-discovery-hike-3/
","Schlitz Audubon Nature Center, Milwaukee","October 21, 2019 1:00 PM - 2:30 PM","https://www.schlitzaudubon.org/event/nature-discovery-hike-3/
",,,,
,X,9/30/2019 15:16:01,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,14143522880169,"Northern Kettle Moraine Geology Field Trip
Join Senior Ecologist Don Quintenz to experience the many unique and striking landforms in the Northern Kettle Moraine that tell the story of an ancient glacier. We will climb a hill formed by a waterfall, hike part of another hill formed by a glacial stream, climb into a deep depression formed by a giant block of ice, and view a ridge that demonstrates the glacier’s powerful rock transport system. When the day is over, you will have a good understanding of how the landforms in eastern Wisconsin were formed.
Member: $75 | Non-Member: $90. Register at https://www.schlitzaudubon.org/event/northern-kettle-moraine-geology-field-trip/
",Schlitz Audubon Nature Center,"November 6, 2019 9:00 AM - 4:00 PM","https://www.schlitzaudubon.org/event/northern-kettle-moraine-geology-field-trip/
",,,,
,X,9/30/2019 15:17:49,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,14143522880169,"Nature Discovery Hike
Experience the wonders of fall as we walk along the meadows, woods, and wetlands of the Center. Senior Ecologist Don Quintenz will lead you to the seasonal events that stir our sense of beauty and imagination, and help answer the questions that nature evokes in us. The entire program takes place on the trail. This month, we will visit our ponds and lakes to see the last seasonal changes in the latest changing habitat.
Member: $15 | Non-Member: $20. Register at https://www.schlitzaudubon.org/event/nature-discovery-hike-2/
","Schlitz Audubon Nature Center, Milwaukee","November 11, 2019 1:00 PM - 2:30 PM","https://www.schlitzaudubon.org/event/nature-discovery-hike-2/
",,,,
,X,9/30/2019 15:19:39,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,14143522880169,"Wandering Naturalists
We’re bringing together some of the Wisconsin’s premier naturalists for a new monthly series. Each month, a different naturalist will share their knowledge on a seasonal hike at Schlitz Audubon. You’ll learn many in-depth details about plants, animals, nature and ecological processes. This is a great opportunity for Wisconsin Master Naturalists to gain advanced training hours.
Member: $15 | Non-Member: $20. Register at https://www.schlitzaudubon.org/event/wandering-naturalists-3/
","Schlitz Audubon Nature Center, Milwaukee","November 16, 2019 9:00 AM - 10:30 AM","https://www.schlitzaudubon.org/event/wandering-naturalists-3/
",,,,
,X,9/30/2019 15:21:50,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,14143522880169,"Nature Discovery Hike
xperience the wonders of fall as we walk along the meadows, woods, and wetlands of the Center. Senior Ecologist Don Quintenz will lead you to the seasonal events that stir our sense of beauty and imagination, and help answer the questions that nature evokes in us. The entire program takes place on the trail. This month, we will pay special attention to the winter appearances of woody plants and see what ducks are migrating south in the near shore waters of Lake Michigan.
Member: $15 | Non-Member: $20. Register at https://www.schlitzaudubon.org/event/nature-discovery-hike/","Schlitz Audubon Nature Center, Milwaukee","December 9, 2019 1:00 PM - 2:30 PM",https://www.schlitzaudubon.org/event/nature-discovery-hike/,,,,
,X,9/30/2019 15:23:45,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,14143522880169,"Wandering Naturalists
We’re bringing together some of the Wisconsin’s premier naturalists for a new monthly series. Each month, a different naturalist will share their knowledge on a seasonal hike at Schlitz Audubon. You’ll learn many in-depth details about plants, animals, nature and ecological processes. Member: $15 | Non-Member: $20. Register at https://www.schlitzaudubon.org/event/wandering-naturalists/","Schlitz Audubon Nature Center, Milwaukee","December 21, 2019 9:00 AM - 10:30 AM",https://www.schlitzaudubon.org/event/wandering-naturalists/,,,,
,X,11/1/2019 16:30:14,Emily Stone,Cable Natural History Museum,emily@cablemuseum.org,7157983890,"3rd Annual Wild about Winter Ecology: Mammals
Graduates of the Wisconsin Master Naturalist program and others are invited to spend a cozy winter weekend at Forest Lodge learning about nature in winter with Master Naturalist Instructor Emily Stone and other experts. The training begins at 1:00 p.m. on Thursday and will engage students in a variety of indoor and outdoor activities with experts on American martens, wolves, elk and mammal skulls. We’ll end by 1:00 on Saturday. All meals are included. Registration cost is $205 with lodging at the historic Gatehouse, and $140 for commuters. Register online at www.cablemuseum.org by January 14. Learn more as the schedule develops by visiting https://www.cablemuseum.org/adult-naturalist-programs/.","Forest Lodge, Cable","Thursday, January 23, 1:00 p.m— Saturday, January 25, 1:00 p.m.","Registration for this course will not open until December 15, 2019. Save the date!",,,,
,X,11/1/2019 16:32:10,Emily Stone,Cable Natural History Museum,emily@cablemuseum.org,7157983890,"
Animal Care Workshop (Adult Naturalist Program)
Do you have what it takes to care for the Museum's live animals? Join a naturalist behind-the-scenes and help prepare food for raptors, feed a snake, learn animal training techniques, and more! 9:00 a.m. to noon. Registration required by January 27 by visiting www.cablemuseum.org or calling 715-798-3890. Space is limited. $10 member/$15 non-member.",Cable Natural History Museum,"Wednesday, January 29, 9:00-noon","Registration for this program will not open until December 15, 2019. Save the date!",,,,
,X,11/1/2019 16:34:40,Emily Stone,Cable Natural History Museum,emily@cablemuseum.org,7157983890,"The Art of Winter Tree Identification 
Identifying trees in winter can be a real challenge…unless you know some tricks! Join talented duo, naturalist Emily Stone and artist Janet Moore, for this exciting class combination of art and  learn the skills you need to successfully identify trees by their leafless winter twigs. Through a series of fun exercises and basic botanical illustration techniques, you will hone your observation and sketching skills to reinforce your newfound knowledge. We’ll also take a walk to visit nearby trees. No previous experience required; class is open to all ability levels and beginners are encouraged. All supplies (pencil, paper) needed are provided. Meet at the Northern Great Lakes Visitor Center in Ashland, WI from 9:30 a.m. to 3:30 p.m. Bring lunch, and be prepared to go outside for a walk of up to 1 mile. Space is limited. Register by February 5, by calling the NGLVC at 715-685-9983. $50 per person. Call 715-798-3890 for more info.
","Northern Great Lakes Visitor Center, Ashland, WI","Saturday, February 8, 9:30 a.m. to 3:30 p.m.","Registration will open on December 15, 2019. Save the date!",,,,
,X,11/6/2019 16:57:56,Marian Farrior,UW-Madison Arboretum,marian.farrior@wisc.edu,(608) 265-5214,"On December 3, 2019, please come to the Arboretum Visitor Center (Classroom 1) from 3:30-5:30 p.m. to learn about restoration organizations and  activities you can get involved with in the Dane County area.  ",UW-Madison Arboretum,"December 3, 2019 from 3:30-5:30 p.m.",Please RSVP to marian.farrior@wisc.edu by November 29 if you plan to attend this event.,,,,
,X,11/6/2019 16:59:35,Marian Farrior,UW-Madison Arboretum,marian.farrior@wisc.edu,(608) 265-5214,"On December 19, please come to the Arboretum Visitor Center (Auditorium) from 4- 7 p.m. for the Dane County’s Office of Lakes and Watersheds annual Watershed Education Network gathering. This is a great opportunity to learn more about watershed-based organizations and activities where you can volunteer. ",UW- Madison Arboretum,"December 19, 2019 from 4-7 p.m.",No RSVP is necessary.,,,,
,X,11/7/2019 14:59:03,Teresa Stabo c/o Colleen Robinson,Wisconsin Dept of Natural Resources,theresa.stabo@wisconsin.gov,608-577-6332,Seasoned anglers are invited to attend training workshops. You will be certified to lead Fishing for Dinner classes for adults and families at community centers and Angler Education programs suitable for the classroom and youth orgs. We'll share tips and best practices on how to teach people to fish and prepare the catch for the table. You can brush up on your own basic fishing skills during hands-on activities and receive guides for implementing these programs in your community.,"Lussier Heritage  Center, Madison, WI","Wednesday, January 8, 2020, 5 - 9 p.m.",Register at https://dnr.wi.gov/topic/fishing/FishingforDinner/index.html,,,,
,X,11/7/2019 15:01:51,Theresa Stabo c/o Colleen Robinson,Wisconsin Dept of Natural Resources,theresa.stabo@wisconsin.gov,608-577-6332,Seasoned anglers are invited to attend training workshops. You will be certified to lead Fishing for Dinner classes for adults and families at community centers and Angler Education programs suitable for the classroom and youth orgs. We'll share tips and best practices on how to teach people to fish and prepare the catch for the table. You can brush up on your own basic fishing skills during hands-on activities and receive guides for implementing these programs in your community.,"DNR Service Center, Spooner, WI","Thurs, March 19, 2020, 5 - 8 p.m.",Register at https://dnr.wi.gov/topic/fishing/FishingforDinner/index.html,,,,
